# Energy_meV Original Background Corrected FinalWeight
-3.032822977744163495e+01 4.310168592455136021e-04 nan nan nan
-2.940919251145855640e+01 4.128172083663000187e-04 nan nan nan
-2.849015524547547429e+01 4.133658316067507035e-04 nan nan nan
-2.757111797949239573e+01 4.111838833437346085e-04 nan nan nan
-2.665208071350931363e+01 4.054500597372889706e-04 nan nan nan
-2.573304344752623507e+01 4.319562898433869716e-04 nan nan nan
-2.481400618154315652e+01 4.773739744773208967e-04 nan nan nan
-2.389496891556007796e+01 5.115477371631522432e-04 nan nan nan
-2.297593164957699585e+01 5.289493395213911656e-04 nan nan nan
-2.205689438359391730e+01 5.097368041098555239e-04 nan nan nan
-2.113785711761083519e+01 5.181246690072778679e-04 nan nan nan
-2.021881985162775663e+01 5.777670533897888731e-04 nan nan nan
-1.929978258564467453e+01 6.722861360359399120e-04 nan nan nan
-1.838074531966159952e+01 7.420568048053547902e-04 nan nan nan
-1.746170805367852097e+01 7.417314367858026530e-04 nan nan nan
-1.654267078769543886e+01 7.302933065518584649e-04 nan nan nan
-1.562363352171235853e+01 7.638655290667004626e-04 nan nan nan
-1.470459625572927820e+01 8.265672427121680205e-04 nan nan nan
-1.378555898974619787e+01 9.417542711218270792e-04 nan nan nan
-1.286652172376311754e+01 1.019031460042565344e-03 nan nan nan
-1.194748445778003898e+01 1.022817165287061682e-03 nan nan nan
-1.102844719179695865e+01 1.013112876221456109e-03 nan nan nan
-1.010940992581387832e+01 1.178366068680417825e-03 nan nan nan
-9.190372659830799762e+00 1.409052912804651140e-03 nan nan nan
-8.271335393847719430e+00 1.516450416077586580e-03 nan nan nan
-7.352298127864639099e+00 1.283559104228765464e-03 nan nan nan
-6.433260861881558768e+00 1.181135097062588259e-03 nan nan nan
-5.514223595898479324e+00 1.069926775811404825e-03 nan nan nan
-4.595186329915399881e+00 1.143376930042490271e-03 nan nan nan
-3.676149063932319550e+00 1.851023157982600777e-03 nan nan nan
-2.757111797949239662e+00 3.248335533455987047e-03 nan nan nan
-1.838074531966159775e+00 5.294969329923755047e-03 nan nan nan
-9.190372659830798874e-01 9.561284304278229451e-02 nan nan nan
0.000000000000000000e+00 3.399636592520646206e-01 nan nan nan
9.190372659830798874e-01 8.879280549825059599e-02 nan nan nan
1.838074531966159775e+00 4.928943012214265923e-03 nan nan nan
2.757111797949239662e+00 3.265909452555680863e-03 nan nan nan
3.676149063932319550e+00 2.612365151864319036e-03 nan nan nan
4.595186329915399881e+00 1.777560825385021042e-03 nan nan nan
5.514223595898479324e+00 1.487045362887744367e-03 2.343218664421034569e-04 1.252723496445640964e-03 8.756510762696520037e-27
6.433260861881558768e+00 1.576900501597372798e-03 2.329993853044071779e-04 1.343901116292965702e-03 8.756510762696520037e-27
7.352298127864639099e+00 1.747744493337286898e-03 2.316769041667108447e-04 1.516067589170576107e-03 8.756510762696520037e-27
8.271335393847719430e+00 1.853280768007964851e-03 2.303544230290145115e-04 1.622926344978950367e-03 8.756510762696520037e-27
9.190372659830799762e+00 1.792670948623535090e-03 2.290319418913180157e-04 1.563639006732217129e-03 8.756510762696520037e-27
1.010940992581387832e+01 1.663016330298084256e-03 2.277094607536211133e-04 1.435306869544463251e-03 8.756510762696520037e-27
1.102844719179695865e+01 1.673640339916992884e-03 2.263869796159233706e-04 1.447253360301069486e-03 8.756510762696520037e-27
1.194748445778003898e+01 1.695586574351521433e-03 2.250644984782242185e-04 1.470522075873297160e-03 8.756510762696520037e-27
1.286652172376311754e+01 1.792365451955309523e-03 2.237420173405230063e-04 1.568623434614786543e-03 8.756510762696520037e-27
1.378555898974619787e+01 1.624282033632209977e-03 2.224195362028191108e-04 1.401862497429390893e-03 8.756510762696520037e-27
1.470459625572927820e+01 1.415611318389172878e-03 2.210970550651118543e-04 1.194514263324060943e-03 8.756510762696520037e-27
1.562363352171235853e+01 1.468121366080602213e-03 2.197745739274004507e-04 1.248346792153201762e-03 8.756510762696520037e-27
1.654267078769543886e+01 1.519258115267804960e-03 2.184520927896840868e-04 1.300806022478120764e-03 8.756510762696520037e-27
1.746170805367852097e+01 1.450598079604740326e-03 2.171296116519618683e-04 1.233468467952778458e-03 8.756510762696520037e-27
1.838074531966159952e+01 1.353734690288775459e-03 2.158071305142329006e-04 1.137927559774542640e-03 8.756510762696520037e-27
